#datumDate,datumId,datumValue
2021-06-24,EQUITY_OPTION/RATE_LNVOL/RIC:.STOXX50E/EUR/2022-02-24/4800,0.1661885106
2021-06-24,EQUITY_OPTION/RATE_LNVOL/RIC:.STOXX50E/EUR/2022-03-24/3000,0.1739682638
2021-06-24,EQUITY_OPTION/RATE_LNVOL/RIC:.STOXX50E/EUR/2022-03-24/3300,0.1739682638
2021-06-24,EQUITY_OPTION/RATE_LNVOL/RIC:.STOXX50E/EUR/2022-03-24/3600,0.1739682638
2021-06-24,EQUITY_OPTION/RATE_LNVOL/RIC:.STOXX50E/EUR/2022-03-24/3900,0.1739682638
2021-06-24,EQUITY_OPTION/RATE_LNVOL/RIC:.STOXX50E/EUR/2022-03-24/4200,0.1643140320
2021-06-24,EQUITY_OPTION/RATE_LNVOL/RIC:.STOXX50E/EUR/2022-03-24/4500,0.1643140320
2021-06-24,EQUITY_OPTION/RATE_LNVOL/RIC:.STOXX50E/EUR/2022-03-24/4800,0.1643140320
2021-06-24,IR_SWAP/RATE/EUR/ESTER/2D/1D/10M,-0.0055990000
2021-06-24,IR_SWAP/RATE/EUR/ESTER/2D/1D/10Y,-0.0005100000
2021-06-24,IR_SWAP/RATE/EUR/ESTER/2D/1D/11M,-0.0055820000
2021-06-24,IR_SWAP/RATE/EUR/ESTER/2D/1D/11Y,0.0001000000
2021-06-24,IR_SWAP/RATE/EUR/ESTER/2D/1D/12Y,0.0006850000
2021-06-24,IR_SWAP/RATE/EUR/ESTER/2D/1D/15M,-0.0055430000
2021-06-24,IR_SWAP/RATE/EUR/ESTER/2D/1D/15Y,0.0020950000
2021-06-24,IR_SWAP/RATE/EUR/ESTER/2D/1D/18M,-0.0055045000
2021-06-24,IR_SWAP/RATE/EUR/ESTER/2D/1D/1M,-0.0056725000
2021-06-24,IR_SWAP/RATE/EUR/ESTER/2D/1D/1W,-0.0056700000
2021-06-24,IR_SWAP/RATE/EUR/ESTER/2D/1D/1Y,-0.0055690000
2021-06-24,IR_SWAP/RATE/EUR/ESTER/2D/1D/20Y,0.0033500000
2021-06-24,IR_SWAP/RATE/EUR/ESTER/2D/1D/21M,-0.0055100000
2021-06-24,IR_SWAP/RATE/EUR/ESTER/2D/1D/25Y,0.0036500000
2021-06-24,IR_SWAP/RATE/EUR/ESTER/2D/1D/2M,-0.0056705000
2021-06-24,IR_SWAP/RATE/EUR/ESTER/2D/1D/2W,-0.0056765000
2021-06-24,IR_SWAP/RATE/EUR/ESTER/2D/1D/2Y,-0.0053755000
2021-06-24,IR_SWAP/RATE/EUR/ESTER/2D/1D/30Y,0.0034550000
2021-06-24,IR_SWAP/RATE/EUR/ESTER/2D/1D/3M,-0.0056690000
2021-06-24,IR_SWAP/RATE/EUR/ESTER/2D/1D/3W,-0.0056700000
2021-06-24,IR_SWAP/RATE/EUR/ESTER/2D/1D/3Y,-0.0050700000
2021-06-24,IR_SWAP/RATE/EUR/ESTER/2D/1D/40Y,0.0030020000
2021-06-24,IR_SWAP/RATE/EUR/ESTER/2D/1D/4M,-0.0056690000
2021-06-24,IR_SWAP/RATE/EUR/ESTER/2D/1D/4Y,-0.0044000000
2021-06-24,IR_SWAP/RATE/EUR/ESTER/2D/1D/50Y,0.0026030000
2021-06-24,IR_SWAP/RATE/EUR/ESTER/2D/1D/5M,-0.0056660000
2021-06-24,IR_SWAP/RATE/EUR/ESTER/2D/1D/5Y,-0.0037850000
